,Autonomia,Carretera,Causa_incidencia,Distancia_kilometros,Fecha_Hora,Latitud,Longitud,Matrícula,Nivel,Poblacion,Provincia,Punto_km_final,Punto_km_inicial,Referencia_Incidencia,Sentido,Tipo_incidencia,Version_incidencia
0,GALICIA,LU-P-1804, CARRETERA CERRADA EN AMBOS SENTIDOS ,44.81141084240308,2020-08-13 11:42,42.5912436,-7.7258209,LU,NEGRO,PONTE DA ERMIDA (A),LUGO,6.0,6.0,LU008138186, ,CONO,01
1,GALICIA,N-642,OBRAS EN GENERAL,152.09975341638972,2020-08-31 08:01,43.54027,-7.25221,LU,VERDE,ANEA (A),LUGO,28.8,27.0,LU008318038,CRECIENTE DE LA KILOMETRICA,OBRAS,02
2,GALICIA,N-642,OBRAS EN GENERAL,152.54447219036678,2020-08-31 08:01,43.5469115,-7.2704426,LU,VERDE,ANEA (A),LUGO,27.0,28.8,LU008319032,DECRECIENTE DE LA KILOMETRICA,OBRAS,02
3,GALICIA,LU-901,REASFALTADO,40.45713725197421,2018-09-19 21:52,42.5027,-7.87801,LU,ROJO,BARRELA (A),LUGO,16.5,9.8,LU805269036,AMBOS SENTIDOS,OBRAS,02
4,GALICIA,AG-64,OBRAS EN GENERAL,134.95776256397747,2020-08-18 21:26,43.4045203,-7.7906309,LU,ROJO,EMPALME (O),LUGO,55.9,42.0,LU008188238,CRECIENTE DE LA KILOMETRICA,OBRAS,02
5,GALICIA,N-642,OBRAS EN GENERAL,157.7454825048185,2020-08-31 08:01,43.5981856,-7.2995563,LU,VERDE,FAZOURO,LUGO,54.2,36.5,LU008318039,CRECIENTE DE LA KILOMETRICA,OBRAS,02
6,GALICIA,N-642,OBRAS EN GENERAL,166.69438558024308,2020-08-31 08:01,43.69238,-7.44516,LU,VERDE,FAZOURO,LUGO,36.5,54.2,LU008319033,DECRECIENTE DE LA KILOMETRICA,OBRAS,02
7,GALICIA,N-642,OBRAS EN GENERAL,155.09067272695847,2020-08-31 09:20,43.570216,-7.2703905,LU,VERDE,FORXAN,LUGO,33.5,32.5,LU008319084,CRECIENTE DE LA KILOMETRICA,OBRAS,02
8,GALICIA,N-547,TRABAJOS DE MANTENIMIENTO,77.74343521289418,2020-08-31 08:40,42.8786488,-7.8250198,LU,VERDE,LODEIRO,LUGO,33.0,30.0,LU008318072,AMBOS SENTIDOS,OBRAS,02
9,GALICIA,N-VI,TRABAJOS DE MANTENIMIENTO,91.99222048931252,2019-01-07 10:15,43.0246215,-7.5789196,LU,AMARILLO,LUGO,LUGO,504.3,503.8,LU901078044,DECRECIENTE DE LA KILOMETRICA,OBRAS,01
10,GALICIA,LU-644,TRABAJOS DE MANTENIMIENTO,52.73762126302034,2020-08-31 08:39,42.66033,-7.47254,LU,VERDE,PACIO DO RIO,LUGO,11.2,0.0,LU008318070,AMBOS SENTIDOS,OBRAS,02
11,GALICIA,N-547,TRABAJOS DE MANTENIMIENTO,77.80636966998826,2020-08-31 08:40,42.8810384,-7.8141716,LU,VERDE,PINTUREIRA (A),LUGO,37.0,29.0,LU008319070,AMBOS SENTIDOS,OBRAS,02
12,GALICIA,LU-P-4806,TRABAJOS DE MANTENIMIENTO,119.79901894626877,2020-01-20 14:18,43.2332218,-7.207005,LU,AMARILLO,PONTENOVA (A),LUGO,25.5,21.4,LU001208265,AMBOS SENTIDOS,OBRAS,01
13,GALICIA,LU-633,OBRAS EN GENERAL,67.56675178721842,2020-08-17 10:08,42.8050839,-7.6174719,LU,VERDE,SAN PEDRO,LUGO,72.2,72.7,LU008178139,DECRECIENTE DE LA KILOMETRICA,OBRAS,02
14,GALICIA,N-540,OBRAS EN GENERAL,43.64214486219673,2020-05-20 02:59,42.5640394,-7.7999011,LU,AMARILLO,SOILAN,LUGO,61.8,59.8,LU005208012,AMBOS SENTIDOS,OBRAS,01
15,GALICIA,N-634,TRABAJOS DE MANTENIMIENTO,155.67381451067254,2020-08-31 09:32,43.5464134,-7.0983494,LU,VERDE,TOMBIN (O),LUGO,558.0,557.5,LU008319088,AMBOS SENTIDOS,OBRAS,02
