,Autonomia,Carretera,Causa_incidencia,Distancia_kilometros,Fecha_Hora,Latitud,Longitud,Matrícula,Nivel,Poblacion,Provincia,Punto_km_final,Punto_km_inicial,Referencia_Incidencia,Sentido,Tipo_incidencia,Version_incidencia
0,GALICIA,OU-143,OBRAS EN GENERAL,28.51624689528255,2020-08-31 11:19,41.9539322,-7.4998878,OR,VERDE,ALBARELLOS,OURENSE,1.8,1.5,OR008319102,CRECIENTE DE LA KILOMETRICA,OBRAS,02
1,GALICIA,OU-143,OBRAS EN GENERAL,29.341810234415394,2020-08-31 11:19,41.9479575,-7.4925941,OR,VERDE,ALBARELLOS,OURENSE,1.5,1.8,OR008318100,DECRECIENTE DE LA KILOMETRICA,OBRAS,02
2,GALICIA,OU-212,OBRAS EN GENERAL,64.21600297639178,2020-08-31 07:18,42.51415,-8.26295,OR,VERDE,ARNELAS,OURENSE,2.0,0.0,OR008319014,CRECIENTE DE LA KILOMETRICA,OBRAS,02
3,GALICIA,N-525,OBRAS EN GENERAL,43.95076798111084,2020-05-28 08:57,42.0559668,-7.1147061,OR,AMARILLO,CANIZO (O),OURENSE,129.0,129.0,OR005288166,AMBOS SENTIDOS,OBRAS,01
4,GALICIA,OU-122,TRABAJOS DE MANTENIMIENTO,68.08722224460801,2019-12-23 11:35,42.3466652,-6.8111123,OR,AMARILLO,CASAIO,OURENSE,17.4,17.3,OR912238051,CRECIENTE DE LA KILOMETRICA,OBRAS,01
5,GALICIA,OU-122,REASFALTADO,67.69993437350378,2020-08-21 13:28,42.3532318,-6.8182081,OR,ROJO,CASAIO,OURENSE,20.0,16.5,OR008218144,AMBOS SENTIDOS,OBRAS,01
6,GALICIA,OU-1202,OBRAS EN GENERAL,44.787350665299684,2019-12-23 13:51,41.9422369,-8.0310466,OR,NEGRO,FARNADEIROS,OURENSE,13.5,13.5,OR912239079,AMBOS SENTIDOS,OBRAS,01
7,GALICIA,N-525,MANTENIMIENTO DE PUENTES,43.080071601853774,2020-06-02 12:50,42.0593332,-7.1242395,OR,VERDE,GUDIÑA (A),OURENSE,128.5,130.0,OR006028242,DECRECIENTE DE LA KILOMETRICA,OBRAS,02
8,GALICIA,OU-212,OBRAS EN GENERAL,63.71519670133772,2020-08-31 07:18,42.4978254,-8.2696661,OR,VERDE,LEBOZAN,OURENSE,0.0,2.0,OR008318018,DECRECIENTE DE LA KILOMETRICA,OBRAS,02
9,GALICIA,A-52,TRABAJOS DE MANTENIMIENTO,38.995952530921954,2019-12-18 00:00,42.334483,-8.0462203,OR,VERDE,RAZAMONDE,OURENSE,245.0,244.0,OR912168305,CRECIENTE DE LA KILOMETRICA,OBRAS,03
10,GALICIA,N-525,TRABAJOS DE MANTENIMIENTO,38.3268644435071,2020-02-01 20:06,42.0036723,-7.2274937,OR,AMARILLO,RIOS,OURENSE,144.5,143.0,OR002019037,CRECIENTE DE LA KILOMETRICA,OBRAS,01
11,GALICIA,N-120,TRABAJOS DE MANTENIMIENTO,43.141057411462306,2020-08-31 08:14,42.3847673,-7.1536229,OR,VERDE,SEADUR,OURENSE,471.9,471.3,OR008318052,AMBOS SENTIDOS,OBRAS,02
12,GALICIA,AG-31,TRABAJOS DE MANTENIMIENTO,22.264316587738858,2020-08-31 08:00,42.2453117,-7.8730722,OR,VERDE,VAL (O),OURENSE,0.0,0.7,OR008318033,DECRECIENTE DE LA KILOMETRICA,OBRAS,02
